ID,SRC,DST,TTL,TOS,num.Protocol,Protocolo,puertoSALIDA,PuertoDestino,FLAGS(TCP)
65002,192.168.0.8,52.111.227.67,128,0,6,TCP,50007,443,|-|A|-|-|-|P|
28095,52.111.227.67,192.168.0.8,114,0,6,TCP,443,50007,|-|A|-|-|-|-|
65003,192.168.0.8,52.111.227.67,128,0,6,TCP,50009,443,|-|A|-|-|-|P|
35652,52.111.227.67,192.168.0.8,114,0,6,TCP,443,50009,|-|A|-|-|-|-|
